brand,carName,carImg,saleVolume,price,muanfactuer,rank,carModel,energeType,marketTime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,36299,"[24.99, 35.49]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png,34789,"[6.98, 8.58]",比亚迪,2,小型车,纯电动,2024.08,6年或15万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/433b1c61fd5645379d4a1e83591fa3e1~tplv-resize:640:0.png,32466,"[9.98, 13.98]",比亚迪,3,中型车,插电式混合动力,2024.05,6年或15万公里
比亚迪,元PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,25594,"[11.98, 14.78]",比亚迪,4,紧凑型SUV,纯电动,2024.03,6年或15万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,24856,"[24.98, 27.98]",理想汽车,5,中大型SUV,增程式,2024.04,5年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/657fc6190656454f9cfdb2a4d97b7874~tplv-resize:640:0.png,24356,"[6, 9.99]",上汽大众,6,紧凑型车,汽油,2023.09,3年或10万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,22356,"[7.98, 12.58]",比亚迪,7,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,海豹06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,21659,"[9.98, 13.98]",比亚迪,8,中型车,插电式混合动力,2024.05,6年或15万公里
日产,轩逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,21618,"[6.98, 14.19]",东风日产,9,紧凑型车,汽油,2024.01,3年或10万公里
比亚迪,宋PLUS DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,21025,"[12.98, 17.58]",比亚迪,10,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,20003,"[11.59, 15.83]",上汽大众,11,中型车,汽油,2023.10,3年或10万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,18693,"[7.98, 12.88]",比亚迪,12,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,18336,"[10.68, 13.98]",比亚迪,13,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,17354,"[10.98, 15.98]",比亚迪,14,紧凑型车,纯电动,2024.02,6年或15万公里
AITO,问界M9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,17151,"[46.98, 56.98]",赛力斯汽车,15,大型SUV,增程式,2023.12,4年或10万公里
埃安,AION Y,https://p9-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,16788,"[9.88, 14.08]",广汽埃安新能源,16,紧凑型SUV,纯电动,2024.03,4年或15万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c61a39f9015c4a1f85cc2f22acaa73b4~tplv-resize:640:0.png,16683,"[12.18, 20.88]",一汽丰田,17,紧凑型SUV,汽油,2023.04,3年或10万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/51d9fd205a9a4415b90bfceebdc5be66~tplv-resize:640:0.png,16496,"[12.22, 17.02]",吉利汽车,18,紧凑型SUV,汽油,2024.01,4年或10万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,16469,"[9.19, 13.69]",一汽大众,19,紧凑型车,汽油,2024.04,3年或10万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,15790,"[8.98, 14.48]",一汽丰田,20,紧凑型SUV,汽油,2024.06,3年或10万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,15765,"[2.68, 9.99]",上汽通用五菱,21,微型车,纯电动,2024.08,3年或12万公里
AITO,问界M7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/887713ee6ba84da6b8962888260c914f~tplv-resize:640:0.png,15633,"[24.98, 32.98]",赛力斯汽车,22,中大型SUV,增程式,2024.08,4年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,14824,"[9.38, 14.98]",广汽丰田,23,紧凑型SUV,汽油,2024.07,3年或10万公里
五菱汽车,五菱缤果,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7874a5c08b544f70ba7e8647e0ef0879~tplv-resize:640:0.png,14536,"[5.58, 8.48]",上汽通用五菱,24,小型车,纯电动,2024.06,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,14155,"[20.23, 23.96]",北京奔驰,25,中型车,48V轻混系统,2024.03,3年不限公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,14001,"[30.62, 45.88]",北京奔驰,26,中大型车,48V轻混系统,2023.12,3年不限公里
埃安,AION S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eb774d9fa2a143efbfa6dfd38fbea82f~tplv-resize:640:0.png,13537,"[12.28, 16.49]",广汽埃安新能源,27,紧凑型车,纯电动,2024.07,4年或15万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99ab2b7854cc4a7ebd590ca4934b9e80~tplv-resize:640:0.png,13281,"[14.98, 18.98]",比亚迪,28,紧凑型SUV,纯电动,2024.08,6年或15万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f03dc47b2bf642968efaed9fc4afb46e~tplv-resize:640:0.png,13179,"[14.58, 23.38]",广汽丰田,29,中型车,汽油,2024.03,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,13138,"[8.99, 15.99]",奇瑞汽车,30,中型SUV,汽油,2023.10,3年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,13120,"[21.59, 29.99]",小米汽车,31,中大型车,纯电动,2024.03,5年或10万公里
比亚迪,海豚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4f90467b59e54ad7a74c035d516e7772~tplv-resize:640:0.png,12443,"[9.98, 12.98]",比亚迪,32,小型车,纯电动,2024.07,6年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,12423,"[28.28, 38.63]",北京奔驰,33,中型SUV,48V轻混系统,2024.03,3年不限公里
大众,迈腾,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,12340,"[13.19, 24.69]",一汽大众,34,中型车,汽油,2024.07,3年或10万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,12282,"[30.38, 53.86]",一汽奥迪,35,中大型车,汽油,2023.10,3年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,12230,"[15.49, 20.99]",一汽大众,36,中型SUV,汽油,2023.10,3年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/75ebab9e98d24c8b86fbae3f3554dc15~tplv-resize:640:0.png,11772,"[9.79, 13.39]",长安汽车,37,紧凑型SUV,汽油,2024.03,3年或10万公里
丰田,卡罗拉,https://p3-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,11562,"[7.58, 11.48]",一汽丰田,38,紧凑型车,汽油,2024.07,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,11541,"[26.32, 32.75]",一汽奥迪,39,中型SUV,汽油,2023.10,3年或10万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb87a765755d45a3920455aabdadadcb~tplv-resize:640:0.png,11403,"[30.18, 35.98]",理想汽车,40,中大型SUV,增程式,2024.03,5年或10万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,11384,"[24, 32.8]",华晨宝马,41,中型车,汽油,2022.08,3年或10万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,11224,"[9.38, 11.98]",比亚迪,42,小型SUV,纯电动,2024.03,6年或15万公里
吉利汽车,星瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,10950,"[8.97, 13.57]",吉利汽车,43,紧凑型车,汽油,2024.06,4年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,10882,"[12.98, 19.58]",一汽红旗,44,中型车,汽油,2023.08,4年或10万公里
比亚迪,唐DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8c1608c9862b4aafb901b9e9e392ad03~tplv-resize:640:0.png,10541,"[17.98, 26.98]",比亚迪,45,中型SUV,插电式混合动力,2024.02,6年或15万公里
大众,途观L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,10497,"[11.68, 19.68]",上汽大众,46,中型SUV,汽油,2024.05,3年或10万公里
本田,雅阁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,10479,"[11.98, 16.88]",广汽本田,47,中型车,汽油,2024.01,3年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/061f73faac15418fa6d7153922aa4efc~tplv-resize:640:0.png,10290,"[12.88, 22.48]",广汽丰田,48,紧凑型SUV,汽油,2024.05,3年或10万公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,10238,"[4.99, 6.99]",长安汽车,49,微型车,纯电动,2024.06,3年或12万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,10187,"[8.69, 13.39]",奇瑞汽车,50,紧凑型车,汽油,2024.03,3年或10万公里
特斯拉,Model 3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,9928,"[23.19, 33.59]",特斯拉中国,51,中型车,纯电动,2024.04,4年或8万公里
长安,逸动,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,9832,"[6.99, 8.29]",长安汽车,52,紧凑型车,汽油,2024.03,3年或10万公里
本田,本田CR-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,9673,"[13.09, 20.89]",东风本田,53,紧凑型SUV,油电混合,2024.04,3年或10万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,9586,"[9.79, 15.99]",东风日产,54,紧凑型SUV,汽油,2024.08,3年或10万公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,9458,"[15.98, 25.98]",比亚迪,55,中大型车,插电式混合动力,2024.02,6年或15万公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c6e1943c2094ec2a14fd460d2c0ba4d~tplv-resize:640:0.png,9335,"[25.9, 32.9]",极氪,56,中大型车,纯电动,2024.08,4年或10万公里
吉利汽车,博越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2feaeea512f442a18ea5a8194a26c29d~tplv-resize:640:0.png,8914,"[10.37, 14.27]",吉利汽车,57,紧凑型SUV,汽油,2024.05,4年或10万公里
奥迪,奥迪A4L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png,8876,"[20.92, 26.05]",一汽奥迪,58,中型车,汽油,2023.10,3年或10万公里
宝马,宝马5系,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,8740,"[35.99, 43.99]",华晨宝马,59,中大型车,48V轻混系统,2024.01,3年或10万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,8650,"[6.79, 15.09]",奇瑞汽车,60,中型SUV,汽油,2024.04,4年或10万公里
哈弗,哈弗大狗,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,8575,"[9.89, 12.49]",长城汽车,61,紧凑型SUV,汽油,2023.07,3年或10万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,8514,"[32.48, 60.06]",腾势汽车,62,中大型MPV,插电式混合动力,2024.03,6年或15万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,8435,"[12.59, 20.89]",广汽本田,63,紧凑型SUV,油电混合,2024.01,3年或10万公里
丰田,赛那,https://p3-dcd.byteimg.com/img/motor-mis-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,8320,"[26.78, 38.18]",广汽丰田,64,中大型MPV,油电混合,2024.04,3年或10万公里
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,8282,"[11.39, 13.69]",上汽大众,65,紧凑型车,纯电动,2024.07,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,8133,"[2.99, 5.19]",吉利汽车,66,微型车,纯电动,2024.03,3年或12万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,8112,"[33.8, 39.6]",蔚来,67,中型SUV,纯电动,2024.02,3年或12万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c786d6818bf460fabdb81c0cdf5f760~tplv-resize:640:0.png,8068,"[5.39, 10.2]",吉利汽车,68,紧凑型车,汽油,2024.07,4年或15万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c7a30225a14f419081c59073b9e2b74d~tplv-resize:640:0.png,7562,"[15.38, 21.98]",一汽红旗,69,中型SUV,汽油,2024.03,4年或10万公里
比亚迪,汉EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,7550,"[16.98, 24.98]",比亚迪,70,中大型车,纯电动,2024.02,6年或15万公里
理想汽车,理想L9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,7495,"[40.98, 43.98]",理想汽车,71,大型SUV,增程式,2024.03,5年或10万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c770aa8bf88c43d586141cc410d497aa~tplv-resize:640:0.png,7386,"[12.88, 16.88]",零跑汽车,72,中型SUV,增程式,2024.03,4年或12万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8978837049a9472c97d5983a41127d24~tplv-resize:640:0.png,7344,"[13.39, 21.39]",奇瑞汽车,73,紧凑型SUV,汽油,2024.01,4年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,7075,"[30.8, 38]",华晨宝马,74,中型SUV,汽油,2023.02,3年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6969,"[57.5, 78]",华晨宝马,75,中大型SUV,48V轻混系统,2023.08,3年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,6811,"[12.78, 20.58]",零跑汽车,76,中型SUV,增程式,2024.03,4年或12万公里
AITO,问界M5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4b38b8a6aaa5407a9f6c0bb5bc346058~tplv-resize:640:0.png,6768,"[24.98, 27.98]",赛力斯汽车,77,中型SUV,增程式,2024.04,4年或10万公里
比亚迪,海豹DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,6729,"[14.98, 21.98]",比亚迪,78,中型车,插电式混合动力,2024.02,6年或15万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,6592,"[32.18, 37.98]",理想汽车,79,中大型SUV,增程式,2024.03,5年或10万公里
吉利银河,银河L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,6559,"[11.37, 16.57]",吉利银河,80,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/20187774599c4f4186b8e9913cf2989a~tplv-resize:640:0.png,6456,"[16.48, 23.88]",一汽红旗,81,中型车,纯电动,2024.04,3年或30万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0b3ee25dceca4fe5982a29702074a0a2~tplv-resize:640:0.png,6424,"[9.38, 12.98]",吉利银河,82,紧凑型车,插电式混合动力,2024.03,4年或10万公里
丰田,格瑞维亚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,6399,"[25.98, 38.08]",一汽丰田,83,中大型MPV,油电混合,2024.04,4年或10万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,6318,"[19.98, 33]",长城汽车,84,紧凑型SUV,汽油,2023.08,5年或15万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe6bc328cfa64a6eb81d94f888a6e001~tplv-resize:640:0.png,6158,"[20.88, 29.58]",广汽丰田,85,中型SUV,油电混合,2024.05,3年或10万公里
吉利汽车,缤越,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f4da599a90704dfabdcd45194b4dea30~tplv-resize:640:0.png,6046,"[6.08, 8.98]",吉利汽车,86,小型SUV,汽油,2024.07,4年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,6022,"[19.4, 39.99]",华晨宝马,87,紧凑型SUV,汽油,2024.08,3年或10万公里
领克,领克07 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a76a8a25a58848549e8de313a4903da4~tplv-resize:640:0.png,6001,"[15.98, 17.98]",领克,88,中型车,插电式混合动力,2024.05,5年或10万公里
哈弗,哈弗H6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,5981,"[7.89, 12.99]",长城汽车,89,紧凑型SUV,汽油,2024.06,3年或10万公里
奇瑞,风云T9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/987f70ca6b3c413da98a13edc41e2ae4~tplv-resize:640:0.png,5876,"[12.99, 16.99]",奇瑞汽车,90,中型SUV,插电式混合动力,2024.05,不限年限/里程(责任免除条款以官方为准)
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,5853,"[17.88, 27.1]",领克,91,中型SUV,插电式混合动力,2024.08,5年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a84daad1c4b416aac405f4ec61a2e4c~tplv-resize:640:0.png,5777,"[13.59, 15.99]",长安启源,92,中大型车,纯电动,2024.05,3年或15万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,5753,"[7.69, 10.79]",一汽大众,93,紧凑型车,汽油,2024.04,3年或10万公里
哪吒汽车,哪吒L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7c9a57b8f81641d99193dd643992e48f~tplv-resize:640:0.png,5628,"[12.99, 16.29]",合众汽车,94,中型SUV,增程式,2024.04,4年或12万公里
五菱汽车,五菱宏光,https://p9-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,5614,"[4.65, 5.78]",上汽通用五菱,95,微面,汽油,2022.07,3年或10万公里
比亚迪,海狮07 EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,5522,"[18.98, 23.98]",比亚迪,96,中型SUV,纯电动,2024.05,6年或15万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,5466,"[16.98, 33.28]",广汽传祺,97,中大型MPV,汽油,2024.05,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,5407,"[9.09, 13.79]",上汽大众,98,紧凑型车,汽油,2023.08,3年或10万公里
深蓝汽车,深蓝SL03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,5218,"[12.49, 69.99]",深蓝汽车,99,中型车,增程式,2024.02,3年或12万公里
